date,b_u_y,n_a_m_e___D_e_a_l_e_r___H_e_d_g_i_n_g,n_a_m_e___D_e_a_l_e_r___s_e_l_f,n_a_m_e___F_o_r_e_i_g_n___D_e_a_l_e_r___S_e_l_f,n_a_m_e___F_o_r_e_i_g_n___I_n_v_e_s_t_o_r,n_a_m_e___I_n_v_e_s_t_m_e_n_t___T_r_u_s_t,s_e_l_l,RecentlyDeclareDate,Trading_Volume_shifted,Trading_money_shifted,open_shifted,max_shifted,min_shifted,close_shifted,spread_shifted,Trading_turnover_shifted,MACD_shifted,Signal Line_shifted,MACD Histogram_shifted,ADX_shifted,+DI_shifted,-DI_shifted,%K_shifted,%D_shifted,RSI_shifted,Bias_shifted,MarginPurchaseBuy_shifted,MarginPurchaseCashRepayment_shifted,MarginPurchaseLimit_shifted,MarginPurchaseSell_shifted,MarginPurchaseTodayBalance_shifted,MarginPurchaseYesterdayBalance_shifted,OffsetLoanAndShort_shifted,ShortSaleBuy_shifted,ShortSaleCashRepayment_shifted,ShortSaleLimit_shifted,ShortSaleSell_shifted,ShortSaleTodayBalance_shifted,ShortSaleYesterdayBalance_shifted,ForeignInvestmentRemainingShares_shifted,ForeignInvestmentShares_shifted,ForeignInvestmentRemainRatio_shifted,ForeignInvestmentSharesRatio_shifted,NumberOfSharesIssued_shifted,people_0_shifted,people_500_shifted,people_2500_shifted,people_7500_shifted,people_12500_shifted,people_17500_shifted,people_25000_shifted,people_35000_shifted,people_45000_shifted,people_75000_shifted,people_150000_shifted,people_300000_shifted,people_500000_shifted,people_700000_shifted,people_900000_shifted,percent_0_shifted,percent_500_shifted,percent_2500_shifted,percent_7500_shifted,percent_12500_shifted,percent_17500_shifted,percent_25000_shifted,percent_35000_shifted,percent_45000_shifted,percent_75000_shifted,percent_150000_shifted,percent_300000_shifted,percent_500000_shifted,percent_700000_shifted,percent_900000_shifted,unit_0_shifted,unit_500_shifted,unit_2500_shifted,unit_7500_shifted,unit_12500_shifted,unit_17500_shifted,unit_25000_shifted,unit_35000_shifted,unit_45000_shifted,unit_75000_shifted,unit_150000_shifted,unit_300000_shifted,unit_500000_shifted,unit_700000_shifted,unit_900000_shifted,Returns
2019-05-03,25185200,0.0,0.0,0.0,1.0,0.0,13711706,2018-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-10,10284800,0.0,0.0,0.0,1.0,0.0,14466658,2018-05-28,30200246.0,7940572444.0,262.0,265.0,260.5,265.0,6.0,10068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,571.0,1.0,6482595.0,668.0,8067.0,8165.0,1.0,33.0,0.0,6482595.0,142.0,1639.0,1530.0,5601037424.0,20329343034.0,21.6,78.39,25930380458.0,329093.0,146470.0,132364.0,22428.0,8556.0,4047.0,4424.0,2099.0,1318.0,2581.0,1527.0,1002.0,396.0,264.0,187.0,100.0,0.12,1.04,0.62,0.4,0.27,0.41,0.28,0.22,0.69,0.81,1.07,0.74,0.7,0.64,25930380458.0,31411510.0,270069717.0,161394460.0,104414221.0,71084917.0,108062603.0,72725465.0,59311064.0,180222501.0,212478122.0,278990207.0,194014015.0,183486840.0,167243122.0,0.0
2019-05-17,22164209,0.0,0.0,0.0,1.0,0.0,33071982,2018-05-28,18868212.0,4844594484.0,257.0,259.0,255.0,256.0,-0.5,8009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,6482595.0,156.0,9032.0,8915.0,1.0,114.0,0.0,6482595.0,103.0,1325.0,1336.0,5626503324.0,20303877134.0,21.69,78.3,25930380458.0,0.0,146300.0,133759.0,22549.0,8624.0,4048.0,4427.0,2097.0,1330.0,2591.0,1521.0,1011.0,399.0,266.0,180.0,-0.0,0.12,1.05,0.62,0.4,0.27,0.41,0.28,0.23,0.69,0.81,1.08,0.75,0.71,0.61,-7000.0,31370544.0,272307670.0,162300487.0,105286288.0,71150970.0,108191839.0,72639612.0,59883929.0,181029966.0,211706903.0,281565556.0,195665214.0,184454466.0,159949579.0,-0.03455238150665973
2019-05-24,15543318,0.0,0.0,0.0,1.0,0.0,29827295,2018-05-28,40006856.0,9775372898.0,249.0,249.0,241.5,241.5,-5.5,15217.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,740.0,2.0,6482595.0,666.0,9991.0,9919.0,41.0,225.0,0.0,6482595.0,143.0,877.0,959.0,5671155932.0,20259224526.0,21.87,78.12,25930380458.0,0.0,146102.0,136787.0,22880.0,8694.0,4110.0,4458.0,2128.0,1336.0,2627.0,1522.0,1000.0,402.0,270.0,179.0,-0.0,0.12,1.07,0.63,0.4,0.27,0.42,0.28,0.23,0.7,0.81,1.07,0.75,0.72,0.61,-9000.0,31310438.0,278393201.0,164790819.0,106151844.0,72223221.0,109003075.0,73687340.0,60105959.0,183581605.0,212245696.0,278150738.0,196861606.0,187474371.0,158722648.0,-0.058307971386935095
2019-05-31,31826379,0.0,0.0,0.0,1.0,0.0,35213360,2019-05-27,38226789.0,8866253632.0,230.0,234.0,230.0,233.0,3.0,14586.0,0.0,0.0,0.0,0.0,15.502434734004694,43.941489443954346,8.671328671328672,7.676767676767677,28.964912921245755,0.0,792.0,13.0,6482595.0,797.0,11383.0,11401.0,4.0,105.0,6.0,6482595.0,167.0,894.0,838.0,5767306419.0,20163074039.0,22.24,77.75,25930380458.0,343524.0,145963.0,145278.0,23608.0,8915.0,4236.0,4535.0,2164.0,1354.0,2635.0,1542.0,1005.0,403.0,276.0,183.0,100.0,0.12,1.13,0.65,0.42,0.28,0.42,0.28,0.23,0.71,0.82,1.07,0.75,0.73,0.62,25930380458.0,31273056.0,294150277.0,170327367.0,108987908.0,74508589.0,110906015.0,75028327.0,60838251.0,184439289.0,214559659.0,279014661.0,196932456.0,191563988.0,163135467.0,-0.03583101952692684
2019-06-06,14769270,0.0,0.0,0.0,1.0,0.0,25874836,2019-05-27,49163217.0,11559578381.0,232.0,237.5,231.0,235.5,4.5,14365.0,0.0,0.0,0.0,0.0,23.65402070657905,38.25730075045309,18.875771604938272,10.403507034745266,36.830102343777575,-3.1063567167249584,506.0,5.0,6482595.0,1431.0,11255.0,12185.0,5.0,188.0,1.0,6482595.0,195.0,1057.0,1051.0,5806302289.0,20124078169.0,22.39,77.6,25930380458.0,0.0,146117.0,148611.0,23867.0,9011.0,4269.0,4546.0,2182.0,1358.0,2644.0,1565.0,999.0,408.0,274.0,167.0,-0.0,0.12,1.15,0.66,0.42,0.28,0.42,0.29,0.23,0.71,0.84,1.06,0.76,0.73,0.57,-1000.0,31308205.0,300115916.0,172371076.0,110216719.0,75157170.0,111230007.0,75647528.0,61100083.0,184376732.0,218275494.0,277264229.0,199596073.0,190862540.0,148656806.0,0.01067245989077198
2019-06-14,17148847,0.0,0.0,0.0,1.0,0.0,29226344,2019-05-27,34651731.0,8008768323.0,231.5,232.0,229.5,232.0,-3.0,14723.0,0.0,0.0,0.0,0.0,17.90779043595531,33.74796419575041,31.42676767676768,33.99747474747475,36.23964056150209,-2.5414828817475366,749.0,12.0,6482595.0,538.0,11676.0,11477.0,13.0,396.0,0.0,6482595.0,203.0,930.0,1123.0,5840251844.0,20090128614.0,22.52,77.47,25930380458.0,347822.0,146174.0,148904.0,23876.0,9009.0,4270.0,4558.0,2192.0,1358.0,2648.0,1562.0,990.0,409.0,267.0,179.0,100.0,0.12,1.15,0.66,0.42,0.28,0.43,0.29,0.23,0.71,0.84,1.05,0.77,0.71,0.61,25930380458.0,31318261.0,300691704.0,172513510.0,110250183.0,75132769.0,111569902.0,75981414.0,61134329.0,184855254.0,218002221.0,274622799.0,200278564.0,184800962.0,159730907.0,-0.01497354179016248
2019-06-21,42699743,0.0,0.0,0.0,1.0,0.0,28603610,2019-05-27,35403556.0,8396819832.0,238.5,239.5,236.0,236.0,-4.0,14911.0,0.0,0.0,0.0,28.827803805365654,28.528641330269604,31.42857010513474,66.66666666666667,81.03192337966266,43.096949085960624,0.07420756917206038,1469.0,6.0,6482595.0,403.0,11310.0,10250.0,6.0,191.0,0.0,6482595.0,344.0,801.0,648.0,5920652544.0,20009727914.0,22.83,77.16,25930380458.0,347676.0,146365.0,148572.0,23860.0,8988.0,4293.0,4552.0,2179.0,1378.0,2661.0,1558.0,984.0,412.0,268.0,176.0,100.0,0.12,1.15,0.66,0.42,0.29,0.42,0.29,0.23,0.71,0.83,1.05,0.77,0.71,0.6,25930380458.0,31370095.0,300040581.0,172364736.0,109952275.0,75567488.0,111383088.0,75483175.0,62041155.0,186225120.0,217638089.0,272881875.0,201595100.0,185331131.0,157415703.0,0.01709443335930004
2019-06-28,19911387,0.0,0.0,0.0,1.0,0.0,18626864,2019-05-27,62136304.0,15398139830.0,248.0,248.5,246.0,248.5,3.5,19049.0,-2.0420568834123856,-5.066048570697018,3.0239916872846324,23.557507873065333,37.21190142033343,27.81217989822097,89.06406406406408,69.74006526852055,56.64964831839614,4.8302045981860315,1291.0,10.0,6482595.0,1787.0,9556.0,10062.0,0.0,0.0,0.0,6482595.0,0.0,0.0,0.0,5941832982.0,19988547476.0,22.91,77.08,25930380458.0,348469.0,146530.0,149152.0,23860.0,8995.0,4299.0,4582.0,2181.0,1378.0,2676.0,1560.0,988.0,405.0,269.0,171.0,100.0,0.12,1.16,0.66,0.42,0.29,0.43,0.29,0.23,0.72,0.83,1.06,0.76,0.71,0.58,25930380458.0,31410736.0,300990675.0,172340050.0,109964314.0,75673021.0,112035052.0,75531965.0,62016107.0,187110113.0,217549142.0,275236719.0,197945983.0,185266552.0,152466371.0,0.05161104051107332
2019-07-05,14397132,0.0,0.0,0.0,1.0,0.0,20989622,2019-05-27,28085212.0,6715488371.0,241.5,241.5,238.0,239.0,-1.5,8987.0,-1.8006310223998128,-2.9424574441427622,1.1418264217429495,17.429067184168183,31.38478584036678,31.7243364728599,43.031189083820685,43.6159844054581,47.83147371949196,0.01046134532901169,484.0,10.0,6482595.0,278.0,11144.0,10948.0,3.0,54.0,0.0,6482595.0,107.0,579.0,526.0,5935589145.0,19994791313.0,22.89,77.1,25930380458.0,354991.0,146394.0,155272.0,24237.0,9046.0,4349.0,4617.0,2172.0,1397.0,2689.0,1560.0,988.0,412.0,262.0,175.0,100.0,0.12,1.19,0.67,0.42,0.29,0.43,0.29,0.24,0.72,0.83,1.06,0.77,0.69,0.6,25930380458.0,31388887.0,310901223.0,175305677.0,110610578.0,76601891.0,112820557.0,75313002.0,62958214.0,188006776.0,217561200.0,275419571.0,201760866.0,181110758.0,156452153.0,-0.03897929360517278
